#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
2 in 1 - Block Buster + Cross High (USA, Europe).zip;2 in 1 - Block Buster + Cross High (USA, Europe).zip;Watara Supervision;;;;;;;;;;;;;;
2 in 1 - Hash Blocks + Eagle Plan (USA, Europe).zip;2 in 1 - Hash Blocks + Eagle Plan (USA, Europe).zip;Watara Supervision;;;;;;;;;;;;;;
2 in 1 - Block Buster + Cross High (USA, Europe);2 in 1: Block Buster + Cross High (USA, Europe);Watara Supervision;;1992;Watara;Compilation;;;;;0;;;;;
2 in 1 - Hash Blocks + Eagle Plan (USA, Europe);2 in 1: Hash Blocks + Eagle Plan (USA, Europe);Watara Supervision;;1992;Watara;Compilation;;;;;0;;;;;
Alien (USA, Europe);Alien (USA, Europe);Watara Supervision;;1992;Watara;Shooter;;;;;0;;;;;
Alien (USA, Europe).zip;Alien (USA, Europe).zip;Watara Supervision;;;;;;;;;;;;;;
Balloon Fight (USA, Europe);Balloon Fight (USA, Europe);Watara Supervision;;1992;Watara;Action;;;;;0;;;;;
Balloon Fight (USA, Europe).zip;Balloon Fight (USA, Europe).zip;Watara Supervision;;;;;;;;;;;;;;
Block Buster (USA, Europe);Block Buster (USA, Europe);Watara Supervision;;1992;Watara;Action;;;;;0;;;;;
Block Buster (USA, Europe).zip;Block Buster (USA, Europe).zip;Watara Supervision;;;;;;;;;;;;;;
Brain Power (USA, Europe);Brain Power (USA, Europe);Watara Supervision;;1992;Watara;Strategy;;;;;0;;;;;
Brain Power (USA, Europe).zip;Brain Power (USA, Europe).zip;Watara Supervision;;;;;;;;;;;;;;
Bubble World (USA, Europe);Bubble World (USA, Europe);Watara Supervision;;1992;Watara;Action;;;;;0;;;;;
Bubble World (USA, Europe).zip;Bubble World (USA, Europe).zip;Watara Supervision;;;;;;;;;;;;;;
Carrier (USA, Europe);Carrier (USA, Europe);Watara Supervision;;1992;Watara;Strategy;;;;;0;;;;;
Carrier (USA, Europe).zip;Carrier (USA, Europe).zip;Watara Supervision;;;;;;;;;;;;;;
Cave Wonders (USA, Europe);Cave Wonders (USA, Europe);Watara Supervision;;1992;Watara;Strategy;;;;;0;;;;;
Cave Wonders (USA, Europe).zip;Cave Wonders (USA, Europe).zip;Watara Supervision;;;;;;;;;;;;;;
Challenger Tank (USA, Europe);Challenger Tank (USA, Europe);Watara Supervision;;1992;Watara;Action;;;;;0;;;;;
Challenger Tank (USA, Europe).zip;Challenger Tank (USA, Europe).zip;Watara Supervision;;;;;;;;;;;;;;
Chimera (USA, Europe);Chimera (USA, Europe);Watara Supervision;;1992;Watara;Strategy;;;;;0;;;;;
Chimera (USA, Europe).zip;Chimera (USA, Europe).zip;Watara Supervision;;;;;;;;;;;;;;
Chinese Checkers (USA, Europe);Chinese Checkers (USA, Europe);Watara Supervision;;1992;Watara;Strategy;;;;;0;;;;;
Chinese Checkers (USA, Europe).zip;Chinese Checkers (USA, Europe).zip;Watara Supervision;;;;;;;;;;;;;;
Classic Casino (USA, Europe);Classic Casino (USA, Europe);Watara Supervision;;1993;Watara;Casino;;;;;0;;;;;
Classic Casino (USA, Europe).zip;Classic Casino (USA, Europe).zip;Watara Supervision;;;;;;;;;;;;;;
Climber (USA, Europe);Climber (USA, Europe);Watara Supervision;;1992;Watara;Action;;;;;0;;;;;
Climber (USA, Europe).zip;Climber (USA, Europe).zip;Watara Supervision;;;;;;;;;;;;;;
Crystball (USA, Europe);Crystball (USA, Europe);Watara Supervision;;1992;Watara;Action;;;;;0;;;;;
Crystball (USA, Europe).zip;Crystball (USA, Europe).zip;Watara Supervision;;;;;;;;;;;;;;
Dancing Block (USA, Europe);Dancing Block (USA, Europe);Watara Supervision;;1992;Watara;Action;;;;;0;;;;;
Dancing Block (USA, Europe).zip;Dancing Block (USA, Europe).zip;Watara Supervision;;;;;;;;;;;;;;
Delta Hero (USA, Europe);Delta Hero (USA, Europe);Watara Supervision;;1992;Watara;Action;;;;;0;;;;;
Delta Hero (USA, Europe).zip;Delta Hero (USA, Europe).zip;Watara Supervision;;;;;;;;;;;;;;
Dream World (USA, Europe);Dream World (USA, Europe);Watara Supervision;;1992;Watara;Platform;;;;;0;;;;;
Dream World (USA, Europe).zip;Dream World (USA, Europe).zip;Watara Supervision;;;;;;;;;;;;;;
Eagle Plan (USA, Europe);Eagle Plan (USA, Europe);Watara Supervision;;1991;Watara;Shooter;;;;;0;;;;;
